,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2022-12-09T01:05:46.548,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800044_postisrccd.fits,44,HD185975,empty_1,holo4_003,1.936894146076483,30.0,0.04768328741192818,,740.0,7.0,30.0,,,,,,    ,,
1,1,2022-12-09T01:08:02.208,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800048_postisrccd.fits,48,HD200654,empty_1,holo4_003,1.6499336044475,30.0,0.04768328741192818,,740.0,7.0,30.0,,,,,,    ,,
2,2,2022-12-09T01:08:45.166,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800049_postisrccd.fits,49,HD200654,empty_1,holo4_003,1.654272846348109,30.0,0.04768328741192818,,740.0,7.0,30.0,,,,,,    ,,
3,3,2022-12-09T01:11:00.533,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800053_postisrccd.fits,53,HD205905,empty_1,holo4_003,1.606977749561414,30.0,0.04768328741192818,,740.0,7.0,30.0,,,,,,    ,,
4,4,2022-12-09T01:11:43.525,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800054_postisrccd.fits,54,HD205905,empty_1,holo4_003,1.612334952014546,30.0,0.04768328741192818,,740.0,7.0,30.0,,,,,,    ,,
5,5,2022-12-09T01:20:15.736,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800063_postisrccd.fits,63,HD2811,empty_1,holo4_003,1.063478594251629,30.0,0.03418092057108879,,740.0,7.0,30.0,,,,,,    ,,
6,6,2022-12-09T01:20:58.785,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800064_postisrccd.fits,64,HD2811,empty_1,holo4_003,1.064194340665154,30.0,0.03418092057108879,,740.0,7.0,30.0,,,,,,    ,,
7,7,2022-12-09T01:22:47.636,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800068_postisrccd.fits,68,HD2811,empty_1,holo4_003,1.066048312807541,30.0,0.03418092057108879,,740.0,7.0,30.0,,,,,,    ,,
8,8,2022-12-09T01:23:30.578,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800069_postisrccd.fits,69,HD2811,empty_1,holo4_003,1.066787331843999,30.0,0.03418092057108879,,740.0,7.0,30.0,,,,,,    ,,
9,9,2022-12-09T01:27:39.760,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800073_postisrccd.fits,73,HD009051,empty_1,holo4_003,1.010175296151536,30.0,0.03418092057108879,,740.0,7.0,30.0,,,,,,    ,,
10,10,2022-12-09T01:28:22.681,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800074_postisrccd.fits,74,HD009051,empty_1,holo4_003,1.010450638815918,30.0,0.03418092057108879,,740.0,7.0,30.0,,,,,,    ,,
11,11,2022-12-09T01:38:45.900,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800083_postisrccd.fits,83,HD205905,empty_1,holo4_003,1.853121806352644,30.0,0.02137961611151695,,740.0,7.0,30.0,,,,,,    ,,
12,12,2022-12-09T01:39:28.732,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800084_postisrccd.fits,84,HD205905,empty_1,holo4_003,1.860664598057822,30.0,0.02137961611151695,,740.0,7.0,30.0,,,,,,    ,,
13,13,2022-12-09T01:45:23.775,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800091_postisrccd.fits,91,HD185975,empty_1,holo4_003,1.962062795738348,30.0,0.02137961611151695,,740.0,7.0,30.0,,,,,,    ,,
14,14,2022-12-09T01:46:06.690,/sps/lsst/groups/auxtel/data/2023/empty~holo4_003/20221208,exposure_2022120800092_postisrccd.fits,92,HD185975,empty_1,holo4_003,1.962520944426788,30.0,0.02137961611151695,,740.0,7.0,30.0,,,,,,    ,,
