,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2021-11-05T00:08:06.477,/sps/lsst/groups/auxtel/data/2022/FELH0600~holo4_003/20211104,exposure_2021110400138_postisrccd.fits,138,HD185975,FELH0600,holo4_003,1.85057624528171,20.0,0.0,1.47977793216705,740.75,6.4,44.0,3.9,,,,,    ,,
1,1,2021-11-05T01:44:20.653,/sps/lsst/groups/auxtel/data/2022/FELH0600~holo4_003/20211104,exposure_2021110400264_postisrccd.fits,264,HD205905,FELH0600,holo4_003,1.15776677988514,20.0,0.0348659418523312,0.946792423725128,741.05,5.8,45.0,5.0,,,,,    ,,
2,2,2021-11-05T01:52:12.857,/sps/lsst/groups/auxtel/data/2022/FELH0600~holo4_003/20211104,exposure_2021110400275_postisrccd.fits,275,HD009051,FELH0600,holo4_003,1.05984182421591,20.0,0.0348659418523312,0.934728562831879,741.1,5.9,48.0,4.8,,,,,    ,,
3,3,2021-11-05T04:50:22.728,/sps/lsst/groups/auxtel/data/2022/FELH0600~holo4_003/20211104,exposure_2021110400509_postisrccd.fits,509,eta dor,FELH0600,holo4_003,1.41130427595356,20.0,0.020407073199749,1.51356542110443,740.35,5.6,37.0,6.3,,,,,    ,,
4,4,2021-11-05T04:57:14.268,/sps/lsst/groups/auxtel/data/2022/FELH0600~holo4_003/20211104,exposure_2021110400520_postisrccd.fits,520,HD38949,FELH0600,holo4_003,1.22226051774968,20.0,0.020407073199749,1.39650022983551,740.3,5.8,35.0,5.4,,,,,    ,,
5,5,2021-11-05T05:06:27.232,/sps/lsst/groups/auxtel/data/2022/FELH0600~holo4_003/20211104,exposure_2021110400532_postisrccd.fits,532,HD009051,FELH0600,holo4_003,1.10666824975872,20.0,0.020407073199749,1.17923188209534,740.2,5.7,38.0,6.4,,,,,    ,,
6,6,2021-11-05T05:14:06.985,/sps/lsst/groups/auxtel/data/2022/FELH0600~holo4_003/20211104,exposure_2021110400543_postisrccd.fits,543,HD031128,FELH0600,holo4_003,1.05520755854555,20.0,0.020407073199749,1.0255960226059,740.15,5.6,37.0,4.9,,,,,    ,,
7,7,2021-11-05T05:20:29.349,/sps/lsst/groups/auxtel/data/2022/FELH0600~holo4_003/20211104,exposure_2021110400554_postisrccd.fits,554,mu. col,FELH0600,holo4_003,1.13216833346124,20.0,0.020407073199749,1.26494085788727,740.15,5.9,29.0,3.3,,,,,    ,,
8,8,2021-11-05T05:26:51.552,/sps/lsst/groups/auxtel/data/2022/FELH0600~holo4_003/20211104,exposure_2021110400565_postisrccd.fits,565,HD38949,FELH0600,holo4_003,1.14003679756905,20.0,0.020407073199749,1.65602624416351,740.05,5.9,32.0,4.3,,,,,    ,,
9,9,2021-11-05T05:33:42.293,/sps/lsst/groups/auxtel/data/2022/FELH0600~holo4_003/20211104,exposure_2021110400576_postisrccd.fits,576,eta dor,FELH0600,holo4_003,1.33170573844558,20.0,0.020407073199749,1.32448661327362,740.0,5.9,33.0,5.3,,,,,    ,,
