,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2022-03-18T00:48:45.560,/sps/lsst/groups/auxtel/data/2022/empty~ronchi170lpmm/20220317,exposure_2022031700232_postisrccd.fits,232,mu. col,empty_1,ronchi170lpmm,1.10938813315427,2.0,0.0448927097022533,1.26191473007202,743.4,8.9,49.0,8.8,,,,,    ,,
1,1,2022-03-18T00:49:14.065,/sps/lsst/groups/auxtel/data/2022/empty~ronchi170lpmm/20220317,exposure_2022031700233_postisrccd.fits,233,mu. col,empty_1,ronchi170lpmm,1.11040126328454,2.0,0.0448927097022533,1.26039981842041,743.4,8.9,49.0,8.8,,,,,    ,,
2,2,2022-03-18T00:49:35.458,/sps/lsst/groups/auxtel/data/2022/empty~ronchi170lpmm/20220317,exposure_2022031700234_postisrccd.fits,234,mu. col,empty_1,ronchi170lpmm,1.11110646286665,2.0,0.0448927097022533,1.26039981842041,743.4,8.9,49.0,8.8,,,,,    ,,
3,3,2022-03-18T00:49:50.459,/sps/lsst/groups/auxtel/data/2022/empty~ronchi170lpmm/20220317,exposure_2022031700235_postisrccd.fits,235,mu. col,empty_1,ronchi170lpmm,1.11160358323977,20.0,0.0448927097022533,1.26039981842041,743.45,8.9,48.0,9.3,,,,,    ,,
4,4,2022-03-18T00:50:23.360,/sps/lsst/groups/auxtel/data/2022/empty~ronchi170lpmm/20220317,exposure_2022031700236_postisrccd.fits,236,mu. col,empty_1,ronchi170lpmm,1.1127020956343,20.0,0.0448927097022533,1.27474284172058,743.45,8.9,48.0,9.3,,,,,    ,,
5,5,2022-03-18T00:52:14.362,/sps/lsst/groups/auxtel/data/2022/empty~ronchi170lpmm/20220317,exposure_2022031700239_postisrccd.fits,239,mu. col,empty_1,ronchi170lpmm,1.11635607334909,2.0,0.0448927097022533,1.20354235172272,743.45,8.9,49.0,9.2,,,,,    ,,
6,6,2022-03-18T00:52:41.812,/sps/lsst/groups/auxtel/data/2022/empty~ronchi170lpmm/20220317,exposure_2022031700240_postisrccd.fits,240,mu. col,empty_1,ronchi170lpmm,1.1173813558652,2.0,0.0448927097022533,1.20354235172272,743.45,8.9,49.0,9.2,,,,,    ,,
7,7,2022-03-18T00:53:03.613,/sps/lsst/groups/auxtel/data/2022/empty~ronchi170lpmm/20220317,exposure_2022031700241_postisrccd.fits,241,mu. col,empty_1,ronchi170lpmm,1.11812944852178,2.0,0.0448927097022533,1.20931577682495,743.45,8.9,49.0,7.6,,,,,    ,,
8,8,2022-03-18T00:53:18.525,/sps/lsst/groups/auxtel/data/2022/empty~ronchi170lpmm/20220317,exposure_2022031700242_postisrccd.fits,242,mu. col,empty_1,ronchi170lpmm,1.11863730324505,20.0,0.0448927097022533,1.20931577682495,743.45,8.9,49.0,7.6,,,,,    ,,
9,9,2022-03-18T00:53:51.531,/sps/lsst/groups/auxtel/data/2022/empty~ronchi170lpmm/20220317,exposure_2022031700243_postisrccd.fits,243,mu. col,empty_1,ronchi170lpmm,1.1197784452011,20.0,0.0448927097022533,1.20931577682495,743.45,8.9,49.0,8.7,,,,,    ,,
