,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2022-06-29T01:26:45.354,/sps/lsst/groups/auxtel/data/2022/BG40~holo4_003/20220628,exposure_2022062800139_postisrccd.fits,139,HD142331,BG40,holo4_003,1.093107271506434,30.0,-0.0217494685202837,1.107174396514893,745.8,9.9,13.0,4.2,,,,,    ,,
1,1,2022-06-29T01:27:28.396,/sps/lsst/groups/auxtel/data/2022/BG40~holo4_003/20220628,exposure_2022062800140_postisrccd.fits,140,HD142331,BG40,holo4_003,1.092502303135817,30.0,-0.0217494685202837,1.107174396514893,745.8,10.0,13.0,5.3,,,,,    ,,
2,2,2022-06-29T01:45:21.655,/sps/lsst/groups/auxtel/data/2022/BG40~holo4_003/20220628,exposure_2022062800166_postisrccd.fits,166,HD142331,BG40,holo4_003,1.080784960685051,30.0,-0.0217494685202837,0.9927282929420471,745.9000000000001,9.9,13.0,3.5,,,,,    ,,
3,3,2022-06-29T01:46:04.662,/sps/lsst/groups/auxtel/data/2022/BG40~holo4_003/20220628,exposure_2022062800167_postisrccd.fits,167,HD142331,BG40,holo4_003,1.080443327682559,30.0,-0.0217494685202837,0.9916617274284363,745.9000000000001,9.9,13.0,3.5,,,,,    ,,
4,4,2022-06-29T01:46:47.669,/sps/lsst/groups/auxtel/data/2022/BG40~holo4_003/20220628,exposure_2022062800168_postisrccd.fits,168,HD142331,BG40,holo4_003,1.080112010483801,30.0,-0.0217494685202837,0.9916617274284363,745.9000000000001,9.9,13.0,3.2,,,,,    ,,
5,5,2022-06-29T02:03:15.515,/sps/lsst/groups/auxtel/data/2022/BG40~holo4_003/20220628,exposure_2022062800192_postisrccd.fits,192,HD142331,BG40,holo4_003,1.075259067112956,30.0,-0.0217494685202837,0.9920173287391663,746.0,10.1,13.0,4.1,,,,,    ,,
6,6,2022-06-29T02:03:58.525,/sps/lsst/groups/auxtel/data/2022/BG40~holo4_003/20220628,exposure_2022062800193_postisrccd.fits,193,HD142331,BG40,holo4_003,1.075161836412369,30.0,-0.0217494685202837,0.9920173287391663,746.0,10.1,13.0,4.1,,,,,    ,,
7,7,2022-06-29T02:04:41.427,/sps/lsst/groups/auxtel/data/2022/BG40~holo4_003/20220628,exposure_2022062800194_postisrccd.fits,194,HD142331,BG40,holo4_003,1.075074668952574,30.0,-0.0217494685202837,0.9920173287391663,746.0,10.3,13.0,4.5,,,,,    ,,
8,8,2022-06-29T02:05:24.369,/sps/lsst/groups/auxtel/data/2022/BG40~holo4_003/20220628,exposure_2022062800195_postisrccd.fits,195,HD142331,BG40,holo4_003,1.074996656952164,30.0,-0.0217494685202837,0.9920173287391663,746.05,10.4,13.0,4.2,,,,,    ,,
9,9,2022-06-29T02:21:48.471,/sps/lsst/groups/auxtel/data/2022/BG40~holo4_003/20220628,exposure_2022062800219_postisrccd.fits,219,HD142331,BG40,holo4_003,1.075912932552828,30.0,-0.0217494685202837,0.757439136505127,745.9000000000001,10.5,13.0,4.7,,,,,    ,,
