,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2021-11-04T05:23:15.100,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300459_postisrccd.fits,459,HD 38666,empty_1,holo4_003,1.13475219515744,30.0,0.0433590225875378,1.07463479042053,740.4,7.3,32.0,5.1,,,,,    ,,
1,1,2021-11-04T05:27:18.411,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300465_postisrccd.fits,465,HD 38666,empty_1,holo4_003,1.12585578734009,30.0,0.0433590225875378,1.24281370639801,740.3,7.4,31.0,6.5,,,,,    ,,
2,2,2021-11-04T05:31:21.800,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300471_postisrccd.fits,471,HD 38666,empty_1,holo4_003,1.11734111348192,30.0,0.0433590225875378,0.998934745788574,740.25,7.3,33.0,6.0,,,,,    ,,
3,3,2021-11-04T05:35:29.984,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300477_postisrccd.fits,477,HD 38666,empty_1,holo4_003,1.10903956062788,30.0,0.0433590225875378,1.11738729476929,740.25,7.2,33.0,5.4,,,,,    ,,
4,4,2021-11-04T05:39:32.920,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300483_postisrccd.fits,483,HD 38666,empty_1,holo4_003,1.10127259259142,30.0,0.0433590225875378,1.113276720047,740.2,7.2,33.0,5.8,,,,,    ,,
5,5,2021-11-04T05:43:36.197,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300489_postisrccd.fits,489,HD 38666,empty_1,holo4_003,1.09384089040759,30.0,0.0433590225875378,1.34055018424988,740.1,7.2,31.0,6.7,,,,,    ,,
6,6,2021-11-04T05:47:45.320,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300495_postisrccd.fits,495,HD 38666,empty_1,holo4_003,1.08659039113612,30.0,0.0433590225875378,1.09473550319672,740.1,7.4,29.0,6.5,,,,,    ,,
7,7,2021-11-04T05:51:48.500,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300501_postisrccd.fits,501,HD 38666,empty_1,holo4_003,1.07984056166438,30.0,0.0433590225875378,1.05794632434845,740.1,7.5,27.0,5.3,,,,,    ,,
8,8,2021-11-04T05:55:51.931,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300507_postisrccd.fits,507,HD 38666,empty_1,holo4_003,1.07340104142393,30.0,0.0433590225875378,1.12500619888306,740.05,7.4,31.0,6.1,,,,,    ,,
9,9,2021-11-04T06:00:24.076,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300513_postisrccd.fits,513,HD 38666,empty_1,holo4_003,1.06657662639588,30.0,0.0433590225875378,1.00414597988129,740.1,7.4,31.0,6.9,,,,,    ,,
10,10,2021-11-04T06:04:27.541,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300519_postisrccd.fits,519,HD 38666,empty_1,holo4_003,1.06079757477452,30.0,0.0433590225875378,0.952740430831909,740.0,7.5,30.0,7.4,,,,,    ,,
11,11,2021-11-04T06:08:30.932,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300525_postisrccd.fits,525,HD 38666,empty_1,holo4_003,1.05531605937954,30.0,0.0433590225875378,1.37659025192261,739.95,7.5,31.0,6.1,,,,,    ,,
12,12,2021-11-04T06:12:39.295,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300531_postisrccd.fits,531,HD 38666,empty_1,holo4_003,1.05002212733178,30.0,0.0433590225875378,0.903772592544556,739.95,7.4,25.0,6.6,,,,,    ,,
13,13,2021-11-04T06:16:42.460,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300537_postisrccd.fits,537,HD 38666,empty_1,holo4_003,1.04512791835037,30.0,0.0433590225875378,0.899794101715088,739.9,7.5,33.0,6.1,,,,,    ,,
14,14,2021-11-04T06:20:46.424,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300543_postisrccd.fits,543,HD 38666,empty_1,holo4_003,1.04049759339114,30.0,0.0433590225875378,0.885488390922546,739.85,7.4,30.0,7.1,,,,,    ,,
15,15,2021-11-04T06:37:38.215,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300556_postisrccd.fits,556,HD 38666,empty_1,holo4_003,1.02422928607052,30.0,0.031757440418005,1.04735136032104,739.65,7.5,25.0,8.2,,,,,    ,,
16,16,2021-11-04T06:41:41.679,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300562_postisrccd.fits,562,HD 38666,empty_1,holo4_003,1.02096892387186,30.0,0.031757440418005,1.29940211772919,739.6,7.6,25.0,7.5,,,,,    ,,
17,17,2021-11-04T06:45:44.993,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300568_postisrccd.fits,568,HD 38666,empty_1,holo4_003,1.01796414250599,30.0,0.031757440418005,0.956206262111664,739.5,7.6,22.0,8.0,,,,,    ,,
18,18,2021-11-04T06:49:53.132,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300574_postisrccd.fits,574,HD 38666,empty_1,holo4_003,1.01515499305742,30.0,0.031757440418005,0.975570440292358,739.5,7.5,23.0,8.2,,,,,    ,,
19,19,2021-11-04T06:53:56.818,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300580_postisrccd.fits,580,HD 38666,empty_1,holo4_003,1.01264699075965,30.0,0.031757440418005,1.26947104930878,739.45,7.7,23.0,8.3,,,,,    ,,
20,20,2021-11-04T06:57:57.807,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300586_postisrccd.fits,586,HD 38666,empty_1,holo4_003,1.01040278061753,30.0,0.031757440418005,1.33982276916504,739.5,7.7,23.0,7.1,,,,,    ,,
21,21,2021-11-04T07:02:03.229,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300592_postisrccd.fits,592,HD 38666,empty_1,holo4_003,1.00836192063421,30.0,0.031757440418005,0.94734251499176,739.5,7.7,24.0,6.6,,,,,    ,,
22,22,2021-11-04T07:06:06.366,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300598_postisrccd.fits,598,HD 38666,empty_1,holo4_003,1.0065777944885,30.0,0.031757440418005,0.999553978443146,739.4,7.4,24.0,8.1,,,,,    ,,
23,23,2021-11-04T07:10:09.890,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300604_postisrccd.fits,604,HD 38666,empty_1,holo4_003,1.00502719975201,30.0,0.031757440418005,0.936392307281494,739.45,7.6,27.0,7.4,,,,,    ,,
24,24,2021-11-04T07:19:15.403,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300610_postisrccd.fits,610,HD 38666,empty_1,holo4_003,1.00240234933022,30.0,0.031757440418005,0.925914645195007,739.45,7.5,27.0,6.8,,,,,    ,,
25,25,2021-11-04T08:24:09.587,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300691_postisrccd.fits,691,HD 38666,empty_1,holo4_003,1.01720097764498,30.0,-0.0231642853468657,1.06525313854218,739.6,7.5,23.0,4.9,,,,,    ,,
26,26,2021-11-04T08:28:14.397,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300697_postisrccd.fits,697,HD 38666,empty_1,holo4_003,1.02016023776889,30.0,-0.0231642853468657,1.10461139678955,739.5,7.5,25.0,6.1,,,,,    ,,
27,27,2021-11-04T08:32:17.911,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300703_postisrccd.fits,703,HD 38666,empty_1,holo4_003,1.0233548030435,30.0,-0.0231642853468657,1.07589840888977,739.5,7.5,24.0,6.5,,,,,    ,,
28,28,2021-11-04T08:36:25.547,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300709_postisrccd.fits,709,HD 38666,empty_1,holo4_003,1.02688918638141,30.0,-0.0231642853468657,1.1331604719162,739.5,7.5,25.0,5.9,,,,,    ,,
29,29,2021-11-04T08:40:29.263,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300715_postisrccd.fits,715,HD 38666,empty_1,holo4_003,1.03057869841169,30.0,-0.0231642853468657,1.04159677028656,739.5,7.4,24.0,6.2,,,,,    ,,
30,30,2021-11-04T08:44:30.629,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300721_postisrccd.fits,721,HD 38666,empty_1,holo4_003,1.03451743240404,30.0,-0.0231642853468657,1.26494085788727,739.55,7.4,26.0,5.9,,,,,    ,,
31,31,2021-11-04T08:48:36.273,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300727_postisrccd.fits,727,HD 38666,empty_1,holo4_003,1.03879860134404,30.0,-0.0231642853468657,1.07951533794403,739.6,7.4,26.0,5.8,,,,,    ,,
32,32,2021-11-04T08:52:37.822,/sps/lsst/groups/auxtel/data/2022/empty~holo4_003/20211103,exposure_2021110300733_postisrccd.fits,733,HD 38666,empty_1,holo4_003,1.04327755946468,30.0,-0.0231642853468657,1.0813627243042,739.65,7.4,27.0,4.5,,,,,    ,,
