,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2022-03-18T00:51:03.112,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700237_postisrccd.fits,237,mu. Col,empty_1,holo4_003,1.11406949878107,20.0,0.0448927097022533,1.22428774833679,743.45,8.9,48.0,9.4,,,,,    ,,
1,1,2022-03-18T00:51:36.190,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700238_postisrccd.fits,238,mu. Col,empty_1,holo4_003,1.11518809673279,20.0,0.0448927097022533,1.22428774833679,743.45,8.9,48.0,9.4,,,,,    ,,
2,2,2022-03-18T00:54:30.463,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700244_postisrccd.fits,244,mu. Col,empty_1,holo4_003,1.12117784228887,20.0,0.0448927097022533,1.18705677986145,743.45,8.9,49.0,8.7,,,,,    ,,
3,3,2022-03-18T00:55:03.377,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700245_postisrccd.fits,245,mu. Col,empty_1,holo4_003,1.1223254831152,20.0,0.0448927097022533,1.37301468849182,743.4,8.8,49.0,7.5,,,,,    ,,
4,4,2022-03-18T00:58:01.707,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700251_postisrccd.fits,251,mu. Col,empty_1,holo4_003,1.12869272583493,20.0,0.0448927097022533,1.1697005033493,743.4,8.9,50.0,10.2,,,,,    ,,
5,5,2022-03-18T00:58:34.835,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700252_postisrccd.fits,252,mu. Col,empty_1,holo4_003,1.12989211938692,20.0,0.0448927097022533,0.979789018630981,743.4,8.9,50.0,10.2,,,,,    ,,
6,6,2022-03-18T01:01:32.859,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700258_postisrccd.fits,258,mu. Col,empty_1,holo4_003,1.13649234070752,20.0,0.0448927097022533,0.907833695411682,743.4,8.9,53.0,10.1,,,,,    ,,
7,7,2022-03-18T01:02:05.775,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700259_postisrccd.fits,259,mu. Col,empty_1,holo4_003,1.13773198155467,20.0,0.0448927097022533,1.00176346302032,743.3,8.9,52.0,10.4,,,,,    ,,
8,8,2022-03-18T01:05:03.839,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700265_postisrccd.fits,265,mu. Col,empty_1,holo4_003,1.14457928753239,20.0,0.0448927097022533,1.23637759685516,743.3,8.9,53.0,10.5,,,,,    ,,
9,9,2022-03-18T01:05:36.766,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700266_postisrccd.fits,266,mu. Col,empty_1,holo4_003,1.14587373417807,20.0,0.0448927097022533,1.23637759685516,743.3,8.9,53.0,10.5,,,,,    ,,
10,10,2022-03-18T01:08:32.232,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700272_postisrccd.fits,272,mu. Col,empty_1,holo4_003,1.15287574299009,20.0,0.0448927097022533,1.08772850036621,743.3,8.9,51.0,10.4,,,,,    ,,
11,11,2022-03-18T01:09:05.133,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700273_postisrccd.fits,273,mu. Col,empty_1,holo4_003,1.15421824782308,20.0,0.0448927097022533,0.948625266551971,743.35,8.9,51.0,9.2,,,,,    ,,
12,12,2022-03-18T01:12:00.164,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700279_postisrccd.fits,279,mu. Col,empty_1,holo4_003,1.16145511245271,20.0,0.0448927097022533,0.862760663032532,743.4,8.9,53.0,9.8,,,,,    ,,
13,13,2022-03-18T01:12:33.079,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700280_postisrccd.fits,280,mu. Col,empty_1,holo4_003,1.1628448083805,20.0,0.0448927097022533,0.862760663032532,743.4,8.9,53.0,9.8,,,,,    ,,
14,14,2022-03-18T01:15:32.735,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700286_postisrccd.fits,286,mu. Col,empty_1,holo4_003,1.17055554636896,20.0,0.0448927097022533,1.00194001197815,743.45,8.9,54.0,9.5,,,,,    ,,
15,15,2022-03-18T01:16:05.627,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700287_postisrccd.fits,287,mu. Col,empty_1,holo4_003,1.17198832258619,20.0,0.0448927097022533,1.04923629760742,743.45,8.9,55.0,9.5,,,,,    ,,
16,16,2022-03-18T01:18:59.663,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700293_postisrccd.fits,293,mu. Col,empty_1,holo4_003,1.17973349702152,20.0,0.0448927097022533,1.11105275154114,743.45,9.0,53.0,10.1,,,,,    ,,
17,17,2022-03-18T01:19:32.577,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700294_postisrccd.fits,294,mu. Col,empty_1,holo4_003,1.18122703106654,20.0,0.0448927097022533,1.11105275154114,743.45,9.0,53.0,10.1,,,,,    ,,
18,18,2022-03-18T01:22:30.386,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700300_postisrccd.fits,300,mu. Col,empty_1,holo4_003,1.1894283854856,20.0,0.0448927097022533,1.01346349716187,743.4,8.9,56.0,9.9,,,,,    ,,
19,19,2022-03-18T01:23:03.286,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700301_postisrccd.fits,301,mu. Col,empty_1,holo4_003,1.19096719156709,20.0,0.0448927097022533,1.0966489315033,743.45,9.0,56.0,9.9,,,,,    ,,
20,20,2022-03-18T01:43:39.078,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700309_postisrccd.fits,309,mu. Col,empty_1,holo4_003,1.25565403369322,20.0,0.0437927655875683,1.09006750583649,743.5,8.8,55.0,9.3,,,,,    ,,
21,21,2022-03-18T01:44:11.982,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700310_postisrccd.fits,310,mu. Col,empty_1,holo4_003,1.257560017198,20.0,0.0437927655875683,1.09006750583649,743.55,8.8,56.0,9.6,,,,,    ,,
22,22,2022-03-18T01:47:06.515,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700316_postisrccd.fits,316,mu. Col,empty_1,holo4_003,1.26789801848953,20.0,0.0437927655875683,1.08069121837616,743.55,8.7,56.0,10.3,,,,,    ,,
23,23,2022-03-18T01:47:39.407,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700317_postisrccd.fits,317,mu. Col,empty_1,holo4_003,1.26987469246882,20.0,0.0437927655875683,1.08069121837616,743.55,8.7,56.0,10.3,,,,,    ,,
24,24,2022-03-18T01:50:33.593,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700323_postisrccd.fits,323,mu. Col,empty_1,holo4_003,1.28054942228948,20.0,0.0437927655875683,1.26418483257294,743.5,8.7,56.0,9.1,,,,,    ,,
25,25,2022-03-18T01:51:06.516,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700324_postisrccd.fits,324,mu. Col,empty_1,holo4_003,1.28259306093795,20.0,0.0437927655875683,1.26070284843445,743.5,8.7,57.0,7.4,,,,,    ,,
26,26,2022-03-18T01:54:00.883,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700330_postisrccd.fits,330,mu. Col,empty_1,holo4_003,1.29365982723986,20.0,0.0437927655875683,1.12810945510864,743.5,8.6,56.0,9.0,,,,,    ,,
27,27,2022-03-18T01:54:33.856,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700331_postisrccd.fits,331,mu. Col,empty_1,holo4_003,1.29577608308804,20.0,0.0437927655875683,1.12810945510864,743.5,8.6,56.0,9.0,,,,,    ,,
28,28,2022-03-18T01:57:30.505,/sps/lsst/groups/auxtel/data/2022/holo/20220317,exposure_2022031700337_postisrccd.fits,337,mu. Col,empty_1,holo4_003,1.30738497445329,20.0,0.0437927655875683,1.24938023090363,743.4,8.7,58.0,6.6,,,,,    ,,
