,number,object,dateobs,refhour,airmass,pressure,temperature,humidity,filename,targetx_pix,targety_pix,rotangle,d2ccd,number2,chi2,pwv,oz,grey,epwv,eoz,egrey
0,253,HD185975,2023-01-18T03:08:52.415500962Z,-1.9437366684808328,2.11122770971562,0,0,0,2023011700253,275.7823003122223,1763.5015520839092,0.44964607452915184,179.99594029404886,253,28.149885388176134,2.9431757491898867,410.6324218564929,1.0165338744797139,0.029722956687777632,4.440381312121907,0.0006238907301133534
1,269,HD38666,2023-01-18T03:21:14.695994415Z,-1.7375476425216663,1.01176784202067,0,0,0,2023011700269,270.2071700584451,1767.283357669046,0.12298365952515426,180.0531340545022,269,990.9581011669087,3.656707327229271,549.9999999994392,1.0312958574569717,0.012301874984567385,1.6078598562340842,0.00013131876037729778
2,270,HD38666,2023-01-18T03:21:57.571002150Z,-1.7256379181508317,1.01217507793263,0,0,0,2023011700270,259.1056136394919,1767.1591888711455,0.12317876397541892,180.7910768515726,270,1733.8469108645286,3.9196893219149054,441.99657775233516,1.014648139256676,0.010734308027402795,1.383879269235978,0.00011230435645867592
3,279,HD38666,2023-01-18T03:27:10.165993443Z,-1.6388059761249982,1.01537154509465,0,0,0,2023011700279,271.85742725571055,1768.6057964822708,0.12707107841003012,179.83787550228988,279,1549.8013444713674,3.3690699333610103,549.9999993553998,1.0324275356013344,0.00948559312388809,1.3011481360770931,0.00010726576856374238
4,280,HD38666,2023-01-18T03:27:52.980498634Z,-1.6269130580163882,1.015841423589,0,0,0,2023011700280,267.51041856320325,1769.2959893446464,0.11815475584113336,180.25779178452314,280,1001.8350565434685,3.5969711359251364,516.0918493122537,1.0287770015607454,0.012760180322519025,1.6425512096472223,0.00013468604206267083
5,289,HD38666,2023-01-18T03:41:04.054508733Z,-1.407170277433333,1.02596959524774,0,0,0,2023011700289,287.7049381798805,1754.3375788583592,0.18604251510055758,180.04044177783538,289,1106.8238870934815,2.8946680790428196,518.3896494129527,1.035210750252449,0.010135598542390063,1.5349282637594066,0.00012609863015139032
6,302,HD185975,2023-01-18T03:52:09.774498800Z,-1.222248057970278,2.12721443241992,0,0,0,2023011700302,315.44129592989697,1763.1127789789882,0.449839463520242,180.02576763372196,302,110.16474548749161,2.5642632540080084,359.28252123033536,1.002244127716709,0.015029682307074948,2.208971679646831,0.00030889644294720226
7,320,HD38666,2023-01-18T04:07:57.977996929Z,-0.9588581973788877,1.05514380256108,0,0,0,2023011700320,294.80795240603544,1736.9183287540973,0.20832186401001626,180.19120347660936,320,15540.649660382094,3.0835204859593306,405.6262655222678,0.9962370858193017,0.003449129303618466,0.46907991771651064,3.898309628613542e-05
8,329,HD38666,2023-01-18T04:13:24.194506425Z,-0.8682425002966649,1.06254119555742,0,0,0,2023011700329,307.3148833072544,1732.4458996390574,0.2088717394229912,179.72410728623663,329,13719.782026587503,3.3675782586986083,497.7969153497945,1.0001980449506902,0.003290382644844509,0.4483486868013247,3.777785959150844e-05
9,330,HD38666,2023-01-18T04:14:07.008497328Z,-0.8563497250458312,1.06355238628469,0,0,0,2023011700330,300.2398513168424,1733.07741665403,0.21260695326202816,180.05732400333522,330,11817.313313167399,3.73667444134811,454.8736427823364,1.0010609397161296,0.0037761539351450673,0.4845002389665235,4.079168283247794e-05
10,338,HD38666,2023-01-18T04:18:51.669492464Z,-0.7772772263969436,1.07050906797045,0,0,0,2023011700338,322.92254958951224,1742.6844144350755,0.21725111233938085,179.71162956238314,338,10479.70055489404,3.720364642253789,514.4786170640392,0.9994636665528319,0.0035991263385698516,0.4621990093379703,3.9066948536892506e-05
11,339,HD38666,2023-01-18T04:19:34.616503027Z,-0.765347501240556,1.07159614759327,0,0,0,2023011700339,327.08831237503045,1742.8669655267172,0.2197547404284098,179.61919995122275,339,1935.942163705962,3.962506150269028,483.1103991121903,0.9971484464323275,0.008076826440830156,1.0890208224175348,9.046656220832091e-05
12,352,HD185975,2023-01-18T04:30:55.267992733Z,-0.5762776429888881,2.13763779332502,0,0,0,2023011700352,308.66923061898467,1758.444108968258,0.4428751345460768,180.00266629007632,352,23.22170794477303,3.3965040811733065,400.20487370177807,0.9978982716764939,0.04069751592400389,5.578887793153954,0.0007798703113118402
13,367,HD38666,2023-01-18T04:43:21.627004110Z,-0.36895569538416595,1.1134747356544,0,0,0,2023011700367,267.543762074504,1759.372881212772,0.23330199429100987,180.01840163161862,367,877.2320587610101,3.595445574758473,531.2348279378106,1.0317776450023575,0.01234488904225227,1.5807648394842269,0.00014115557457464428
14,368,HD38666,2023-01-18T04:44:04.485005452Z,-0.3570506950113881,1.11491430073806,0,0,0,2023011700368,264.85900471474196,1761.9360796489009,0.23880827960607875,180.12662574487612,368,1194.9992304971158,3.4918601039159554,518.3041062877695,1.0278742098186036,0.009882773504104114,1.345080896425527,0.00012005716065101958
15,393,HD185975,2023-01-18T05:05:29.867507493Z,0.0,2.1428901262555,0,0,0,2023011700393,302.9777447809158,1750.8921767370819,0.4500630878142949,180.07199840254484,393,45.827510377643826,2.8309484010623303,374.16882645662326,0.9986573550533587,0.024232853020925628,3.541110531090175,0.0004999305602420038
16,394,HD185975,2023-01-18T05:06:12.681495482Z,0.011892774441390586,2.14294594712043,0,0,0,2023011700394,303.9140196271709,1749.0490913057079,0.4507236030591619,179.9515092648355,394,26.85982227246423,2.9773454015032756,405.0230193128863,1.001774585550823,0.030871207689458342,4.660557418193819,0.000650638316656982
17,424,HD111980,2023-01-18T05:36:32.063009358Z,0.5172765282958354,1.86727828200894,0,0,0,2023011700424,298.17117043446166,1724.5251420719721,0.39019975723338923,179.9604989088272,424,171.77623127564908,3.1184107624506487,449.2138436159588,1.0499085733506757,0.014199690448897963,1.961361849652288,0.0002587820401445574
18,425,HD111980,2023-01-18T05:37:14.978492563Z,0.5291974958527774,1.85942598973634,0,0,0,2023011700425,298.8522836224861,1723.388477807939,0.3898740157896596,179.96286619448728,425,218.28090272448168,2.9550433134146075,462.1504770520956,1.0466011898921275,0.011164618355882927,1.7062960499977329,0.00022105533559327258
19,433,HD111980,2023-01-18T05:42:01.263504325Z,0.6087211102311114,1.8088534680755,0,0,0,2023011700433,298.8568802370237,1727.8769977920185,0.3831967089507533,179.93761179142544,433,162.33129430457421,3.308623998428468,472.81650568915927,1.0486951358371854,0.013537378879985615,1.9136656341121623,0.00024383246726330471
20,434,HD111980,2023-01-18T05:42:44.197000317Z,0.6206470813399996,1.801532836994,0,0,0,2023011700434,300.68275324728006,1729.5666356932345,0.3890207248344917,179.92276451492117,434,133.12389931722424,3.265767113684633,484.58548704478943,1.0531889044393423,0.015784743465771304,2.2408236695434685,0.00028431372713997113
