,index,exposure,spec_date_obs,spec_target_label,spec_filter_label,spec_airmass,spec_pressure,spec_temperature,spec_humidity,spec_hour_angle,spec_parallactic_angle,spec_camera_angle,spec_order,spec_header_target,spec_header_redshift,spec_header_grating,spec_header_rotangle,spec_header_d2ccd,spec_header_lshift,spec_header_parangle,spec_header_targetx,spec_header_targety,spec_header_lbda_ref,spec_header_pixshift,spec_header_psf_reg,spec_header_trace_r,spec_header_chi2_fit,spec_header_a2_fit,spec_header_am_fit,spec_header_meanfwhm,spec_header_version,spec_header_rebin,spec_header_date-obs,spec_header_exptime,spec_header_airmass,spec_header_dec,spec_header_ha,spec_header_outtemp,spec_header_outpress,spec_header_outhum,spec_header_filter,spec_header_cam_rot,spec_header_s_x0,spec_header_s_y0,spec_header_s_xmin,spec_header_s_xmax,spec_header_s_ymin,spec_header_s_ymax,spec_header_s_nx,spec_header_s_ny,spec_header_s_dec,spec_header_s_sat,spec_spectrogram_x0,spec_spectrogram_y0,spec_spectrogram_xmin,spec_spectrogram_xmax,spec_spectrogram_ymin,spec_spectrogram_ymax,spec_spectrogram_deg,spec_spectrogram_saturation,spec_spectrogram_Nx,spec_spectrogram_Ny,number,chi2_1,pwv_1,oz_1,grey_1,epwv_1,eoz_1,egrey_1,SNR_1,chi2_2,pwv_2,grey_2,epwv_2,egrey_2,SNR_2,chi2_3,pwv_3,grey_3,epwv_3,egrey_3,SNR_3,chi2_4,pwv_4,grey_4,epwv_4,egrey_4,SNR_4,pwv_avg,pwv_sig
0,0,2022120800043,2022-12-09T01:04:41.749993207Z,HD185975,empty,1.93646156773759,0,0,0,-284.1772905847854,77.24880303119399,103.00828058961,1,HD185975,-6.4999999999999e-05,holo4_003,0.4619570635691068,187.4232329251711,0.0,77.24880303119399,145.3270065408125,887.592279074268,597.2571590735706,-0.08466123124316446,0.007887465996903124,401.5600515343486,11.46713908926558,1.0,1.93646156773759,4.964269235276014,2.4,2,2022-12-09T01:04:41.749993207Z,30.0,1.93646156773759,-87.5143884464498,-284.1772905847854,0,0,0,empty,103.00828058961,-418.5364147778615,83.592279074268,564,1700,804,989,1136,185,2,22666.66666666667,-418.5364147778615,83.592279074268,564,1700,804,989,2,22666.66666666667,1136,185,43,23.220519336273824,1.776362091064516,306.85928148254044,1.1689791256471427,0.051372589841806995,8.184048619359606,0.001112125817648116,0.24343403236941388,11.954265431488603,1.6024661487298226,1.1587059779441478,0.056202624179952365,0.0023354235479364285,0.37386883402577326,3.447387415211875,2.7051631668444194,1.1669445458496548,0.1475538902258928,0.0013788312497185612,0.03957083533600494,1.6462410404317331,2.3921519012594534,1.1709019936965976,0.1037955215729784,0.0009417700235244508,0.0026253523594028825,1.8300219682792862,0.5330392134758561
1,1,2022120800044,2022-12-09T01:05:24.669008185Z,HD185975,empty,1.93689414607648,0,0,0,-283.9980403525277,77.42890230649442,103.008341771585,1,HD185975,-6.4999999999999e-05,holo4_003,0.4555569745725051,187.3242080178059,0.0,77.42890230649442,145.8425173524413,888.262384877137,597.2571590735706,0.07144289933831906,0.5221707011135774,252.9180218583088,7.209524182193126,1.0,1.93689414607648,5.031046454246048,2.4,2,2022-12-09T01:05:24.669008185Z,30.0,1.93689414607648,-87.5143864401067,-283.9980403525277,0,0,0,empty,103.008341771585,-417.5746237684329,84.26238487713702,563,1700,804,989,1137,185,2,22666.66666666667,-417.5746237684329,84.26238487713702,563,1700,804,989,2,22666.66666666667,1137,185,44,42.90104611588914,1.6154562051061894,307.957919832337,1.175690437503559,0.0694890678359507,11.107697587202177,0.0015173430665095704,1.1834738235094027,15.215347921303172,1.543106479747326,1.171824094536823,0.06320247392839351,0.002636860424312067,1.3328022720149437,7.650342248326864,2.26092839545314,1.1755899049029488,0.18648922349173366,0.0019263329924551753,0.011350656375743113,5.864507050006789,2.190713741035542,1.1775246373876995,0.18937866928003408,0.0017228282398554556,0.003180986431736162,1.6475284371674048,0.4132923772658078
2,14,2022120800091,2022-12-09T01:45:01.891996710Z,HD185975,empty,1.96206279573835,0,0,0,-273.8798915954795,87.5715132037586,92.78912486925299,1,HD185975,-6.4999999999999e-05,holo4_003,0.4906509726379838,187.3616356370789,0.0,87.5715132037586,149.1692287792558,883.7629552842718,597.2571590735706,0.07814707322713117,0.532491279723469,268.2571265118242,2.498437659162406,1.0,1.96206279573835,4.76214832604086,2.4,2,2022-12-09T01:45:01.891996710Z,30.0,1.96206279573835,-87.5142058735061,-273.8798915954795,0,0,0,empty,92.78912486925299,-418.1143659779742,83.76295528427177,567,1703,800,985,1136,185,2,22666.66666666667,-418.1143659779742,83.76295528427177,567,1703,800,985,2,22666.66666666667,1136,185,91,12.947926713681234,1.8129132010907547,294.19876380983914,0.5218922701019644,0.06357296315929167,9.726344338508245,0.0006117437120997409,0.510666930731542,7.11469782347278,1.6890037938606761,0.518703960212778,0.06956554609581171,0.0012919403122223709,0.689924927860472,4.887546888284881,2.6728756830003046,0.5220729404529046,0.2584303655096872,0.0011170609334920035,0.08415890265716695,2.966375325888358,2.3425728062596862,0.5243505303502033,0.20967934230676102,0.0008640874780725126,0.028279144439348758,1.8115285584716405,0.5096423003491577
3,15,2022120800092,2022-12-09T01:45:44.809494485Z,HD185975,empty,1.96252094442679,0,0,0,-273.6999488702275,87.751474436235,92.78855639131399,1,HD185975,-6.4999999999999e-05,holo4_003,0.4993795131063453,187.48048676876,0.0,87.751474436235,148.5624312037814,885.0271867802564,597.2571590735706,0.0217699748400807,0.289525953129258,307.8120989059668,2.465532488965024,1.0,1.96252094442679,5.235842480712581,2.4,2,2022-12-09T01:45:44.809494485Z,30.0,1.96252094442679,-87.5142038781465,-273.6999488702275,0,0,0,empty,92.78855639131399,-418.2104417850649,83.02718678025646,567,1703,802,987,1136,185,2,22666.66666666667,-418.2104417850649,83.02718678025646,567,1703,802,987,2,22666.66666666667,1136,185,92,9.199349477444313,1.881265296842848,283.2646556988991,0.4669588740080752,0.0574021941203719,8.759183235365587,0.0004936505319973762,0.06648321622267589,4.118430305123298,1.7338022755261295,0.4625208044385273,0.05780508715463781,0.000947982730908286,0.2163811624526728,3.0541477273135,2.6104168476723975,0.46713467308561757,0.22688387152356876,0.000851756218031555,0.027637485935809364,2.561522163686462,2.348121736689296,0.46871679067983657,0.21251667734767135,0.0007761317832464149,0.028636445749318406,1.8507997767513173,0.4579748326815184
4,31,2022120800141,2022-12-09T02:20:24.959498190Z,HD185975,empty,1.98539823658165,0,0,0,-264.9512578129825,96.48473707743291,84.089482251324,1,HD185975,-6.4999999999999e-05,holo4_003,0.4678521719206907,187.2632129190453,0.0,96.48473707743291,148.0444601628847,888.5958487597093,597.2571590735706,0.1460933881511172,1.523394909348681,205.4734419918527,8.263104860600587,1.0,1.98539823658165,6.065586207887645,2.4,2,2022-12-09T02:20:24.959498190Z,30.0,1.98539823658165,-87.5126005190041,-264.9512578129825,0,0,0,empty,84.089482251324,-418.3863555351199,83.59584875970928,566,1702,805,990,1136,185,2,22666.66666666667,-418.3863555351199,83.59584875970928,566,1702,805,990,2,22666.66666666667,1136,185,141,62.42196872993564,2.1084638940371456,262.4583351347673,1.0023918743923834,0.10445160689375847,14.481451522282264,0.001744175515002303,1.028112832360778,18.634167069815717,1.7413105410275784,0.9788152240627395,0.07655981864784307,0.002739548503939663,0.6791584775336249,14.422892694560648,1.8261937540135835,0.9898510323274473,0.24781479824884914,0.002380683995012531,0.010400782013386563,8.895250034045992,2.1830705135234503,1.0027560689860449,0.24256748456212782,0.001969131361953606,0.0846526255031366,1.8852572228269853,0.20169476613035175
5,32,2022120800142,2022-12-09T02:21:07.847494834Z,HD185975,empty,1.98586948671934,0,0,0,-264.7721568008745,96.66312465121888,84.08976495892799,1,HD185975,-6.4999999999999e-05,holo4_003,0.4911157201292229,187.3047443685191,0.0,96.66312465121888,146.621480412544,887.4584057037288,597.2571590735706,0.09330987688349233,0.8799084735667939,244.9135668012553,4.532358379875799,1.0,1.98586948671934,5.268689982649122,2.4,2,2022-12-09T02:21:07.847494834Z,30.0,1.98586948671934,-87.5126547849652,-264.7721568008745,0,0,0,empty,84.08976495892799,-417.7800951091677,83.4584057037288,564,1701,804,989,1137,185,2,22666.66666666667,-417.7800951091677,83.4584057037288,564,1701,804,989,2,22666.66666666667,1137,185,142,34.67449184489519,2.105041585143775,272.3257529707012,0.8533390283249479,0.08725717889719851,11.872580021984874,0.0012238523318216447,1.3955178035103715,12.251655031475469,1.8273069042685453,0.8365553087571735,0.06938858150307237,0.0020908496481343497,0.14512014874243062,10.37991170582366,2.201664717923245,0.8508515154855398,0.25967334878966,0.0019661805621101294,0.08251068015239539,6.166489169442672,2.0163851972174505,0.8592713985260609,0.22591496596421073,0.0015446575801698716,0.01691054848851327,1.9497683967991992,0.16355131829590908
6,47,2022120800189,2022-12-09T02:54:51.697991608Z,HD185975,empty,2.00845344262799,0,0,0,-256.2980567580515,105.0923588333042,75.488284096315,1,HD185975,-6.4999999999999e-05,holo4_003,0.492060992019398,187.3426771439892,0.0,105.0923588333042,150.0918198371,882.9799457057318,597.2571590735706,0.09546054145861309,0.5004664859632046,387.4590999279648,4.53450342876704,1.0,2.00845344262799,4.896844393681315,2.4,2,2022-12-09T02:54:51.697991608Z,30.0,2.00845344262799,-87.5075447702511,-256.2980567580515,0,0,0,empty,75.488284096315,-418.2658819122102,82.97994570573181,568,1704,800,985,1136,185,2,22666.66666666667,-418.2658819122102,82.97994570573181,568,1704,800,985,2,22666.66666666667,1136,185,189,41.96877157574584,1.9835015197355341,283.78492668594737,1.0131018291594083,0.07433807424587391,11.655157868531472,0.001435714991271617,0.21793774044602163,10.9189313762561,1.7921607497962944,0.999049944586027,0.05818650676073726,0.0021163367925511947,0.6770711785456919,8.262023995421687,2.2221740202795464,1.008136000309467,0.21597071137078805,0.0019287906647044036,0.041890453361608064,4.548677264644836,2.1851810183393314,1.0159844626075865,0.17915368064705686,0.0014459121121175936,0.01773085711532133,1.8982057611955445,0.22684308561990646
7,48,2022120800190,2022-12-09T02:55:34.528005825Z,HD185975,empty,2.00892723940223,0,0,0,-256.1183287544605,105.2707126427942,75.48759176722899,1,HD185975,-6.4999999999999e-05,holo4_003,0.4964681925062889,187.3280767155222,0.0,105.2707126427942,150.3646533715017,883.8636568453088,597.2571590735706,0.1110246357521331,1.227262601163498,235.9767320860136,4.925217085064345,1.0,2.00892723940223,4.424737255932102,2.4,2,2022-12-09T02:55:34.528005825Z,30.0,2.00892723940223,-87.5076184497726,-256.1183287544605,0,0,0,empty,75.48759176722899,-417.8732813613937,83.86365684530885,567,1704,800,985,1137,185,2,22666.66666666667,-417.8732813613937,83.86365684530885,567,1704,800,985,2,22666.66666666667,1137,185,190,43.15975573283188,1.713890984619098,304.3231739943117,0.9855764674396059,0.07538297981965138,12.05011512393026,0.001431611505805682,0.8779114657185316,16.30300253888635,1.6598189891515451,0.9825192329521649,0.07009949207158654,0.002523601222172815,1.092261096827222,12.443915560419155,2.0624870199668672,0.9855489826856736,0.2440586468066097,0.0022111658639826543,0.008120845258539823,8.320158062360866,2.0446712776795324,0.987663062795645,0.22998130931233388,0.0018593919636118903,0.020539326845756156,1.7165466272450696,0.2400862443480867
8,63,2022120800236,2022-12-09T03:26:16.225501338Z,HD185975,empty,2.0294983453724,0,0,0,-248.3120422348235,113.0092262869416,67.69069747506501,1,HD185975,-6.4999999999999e-05,holo4_003,0.5210083695000679,187.3378219654393,0.0,113.0092262869416,148.9983853403043,879.9593360177263,597.2571590735706,0.05040235136597494,2.055298948253288,237.9659348331167,5.170964373771033,1.0,2.0294983453724,4.096266574642795,2.4,2,2022-12-09T03:26:16.225501338Z,30.0,2.0294983453724,-87.5029724562758,-248.3120422348235,0,0,0,empty,67.69069747506501,-418.2260894038799,82.95933601772634,567,1703,797,982,1136,185,2,22666.66666666667,-418.2260894038799,82.95933601772634,567,1703,797,982,2,22666.66666666667,1136,185,236,71.06905692192515,1.37706229646576,310.49133384248626,0.9906208396034918,0.07913470657628299,15.107908241512437,0.001815538052732624,2.133049395625164,32.024886275559794,1.5062698880529468,0.9995691944176814,0.09599437374277944,0.0035169635947014588,1.3525516432679563,16.04639760833592,1.6234864177491537,0.9973870122436062,0.23075912804787307,0.002391961957135587,0.13336055224183965,11.442684179781066,1.8065226016668694,0.9964722554290274,0.23822656636973782,0.0020841828470859534,0.011310142962777053,1.4631297203662548,0.19551318168373713
9,64,2022120800237,2022-12-09T03:26:59.082491023Z,HD185975,empty,2.02996376330803,0,0,0,-248.1328258591395,113.186557930864,67.69065460998601,1,HD185975,-6.4999999999999e-05,holo4_003,0.5044376705445721,187.3293574096671,0.0,113.186557930864,148.8063514870513,880.5473667492394,597.2571590735706,0.04225498141171765,0.2351324125992298,301.1411198311308,5.256969243147812,1.0,2.02996376330803,4.361103104609676,2.4,2,2022-12-09T03:26:59.082491023Z,30.0,2.02996376330803,-87.5029651468546,-248.1328258591395,0,0,0,empty,67.69065460998601,-418.4315985561319,83.54736674923937,567,1703,797,982,1136,185,2,22666.66666666667,-418.4315985561319,83.54736674923937,567,1703,797,982,2,22666.66666666667,1136,185,237,18.2359362220511,1.8809795605596737,284.84659559381805,0.9768630633918349,0.04883479484140892,7.6961089540623355,0.000922714128095913,0.042952549801389024,9.450227162338162,1.7412424698826154,0.9676267027796673,0.05405835413707789,0.0019191762657415625,0.43856264183671645,5.733339254179089,2.449722133205352,0.9796747780924053,0.18004556092277663,0.0015645644033810797,0.05899459427415165,2.563820628615958,2.3640692775998184,0.9810534256871855,0.13407694187318284,0.0010572850154080583,0.012187892514042733,1.876970897226579,0.38201671620769057
