ccdVisitId,visitId,physical_filter,band,ra,dec,zenithDistance,zeroPoint,psfSigma,skyBg,skyNoise,astromOffsetMean,astromOffsetStd,nPsfStar,psfStarDeltaE1Median,psfStarDeltaE2Median,psfStarDeltaE1Scatter,psfStarDeltaE2Scatter,psfStarDeltaSizeMedian,psfStarDeltaSizeScatter,psfStarScaledDeltaSizeScatter,psfTraceRadiusDelta,maxDistToNearestPsf,decl,detector,seeing,skyRotation,expMidpt,expMidptMJD,expTime,obsStart,obsStartMJD,darkTime,xSize,ySize,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec,nightObs,Time,airmass,tractID,patchID,selectedFlag,dayobsMJD
40919696896,2023051100262,SDSSr_65mm~empty,r,239.94672662986306,-24.053745771200802,56.749516,27.705477,7.776608,11.197219,7.856582,0.032860972,0.019684834,39,-0.0042453483,-0.0014854334,0.031741545,0.014840981,0.0897634,0.06362795,0.008092504,0.65949255,1402.7019,-24.053745771200802,0,1.7526496448598676,322.911701057551,2023-05-12 01:08:56.302993,60076.047873877236,30.0,2023-05-12 01:08:41.302993,60076.04770026613,30.2434,4071,3999,239.93556571530291,-24.128924967203183,240.0292642835227,-24.062574442469003,239.95787447988013,-23.97856575934045,239.8642003373311,-24.044872849378173,20230511,2023-05-12 01:08:41.302993,1.8238180767638863,5615,295,False,60076
40919697152,2023051100263,SDSSg_65mm~empty,g,239.94133481732533,-24.03837951537562,56.289413,27.909496,7.784901,3.9899008,7.472743,0.03287858,0.018671475,20,0.012384862,0.0071385726,0.029435886,0.042836126,0.1588962,0.17120828,0.021376895,5.179351,2200.9622,-24.03837951537562,0,1.7546000573828358,170.005076639476,2023-05-12 01:11:06.209005,60076.04937741903,30.0,2023-05-12 01:10:51.209005,60076.049203807925,30.2343,4071,3999,239.98874026971032,-23.97609182260672,239.87226170103023,-23.99619600419989,239.89388336891523,-24.100652610383936,240.01045330946386,-24.080532035034484,20230511,2023-05-12 01:10:51.209005,1.8018078460199782,5615,295,False,60076
40919697408,2023051100264,SDSSi_65mm~empty,i,239.93816341918944,-24.03684764084175,55.439133,27.848541,6.357665,28.071854,8.586543,0.026556939,0.017523302,35,0.012834975,-0.013176998,0.020933252,0.046253446,-0.012801753,0.10048896,0.015864752,0.36762092,1484.087,-24.03684764084175,0,1.4328986814519882,170.004954611145,2023-05-12 01:15:04.912000,60076.05214018519,30.0,2023-05-12 01:14:49.912000,60076.05196657408,30.2335,4071,3999,239.98557182456506,-23.974552946851354,239.86911309909104,-23.994653020902263,239.89070901489825,-24.099127733540634,240.00725911056526,-24.07901129224924,20230511,2023-05-12 01:14:49.912000,1.7627935151535254,5615,295,False,60076
40919698432,2023051100268,SDSSr_65mm~empty,r,239.96441272684947,-24.0455114165941,54.48219,27.753105,8.100518,10.701076,7.8540483,0.026479695,0.014893812,32,-0.0018245117,-0.0072418377,0.012690168,0.015632296,0.15265141,0.114754245,0.013797821,0.49298146,2023.0471,-24.0455114165941,0,1.825549935301986,323.86720626664,2023-05-12 01:19:39.311494,60076.05531610525,30.0,2023-05-12 01:19:24.311494,60076.055142494144,30.2379,4071,3999,239.95186820098198,-24.120504212616073,240.04676822652817,-24.055596857497456,239.9769426109822,-23.970517589843144,239.882070173857,-24.03538193255621,20230511,2023-05-12 01:19:24.311494,1.7213007479704705,5615,294,False,60076
40919698944,2023051100270,SDSSi_65mm~empty,i,239.96113728687587,-24.04636366051205,53.849277,27.852003,6.7461653,23.952093,8.440446,0.02356267,0.012609336,34,-0.011282258,0.0039690672,0.03777061,0.02255036,-0.016428258,0.14389236,0.020965418,1.1723355,1726.0397,-24.04636366051205,0,1.5204625082767667,170.004124263576,2023-05-12 01:22:36.150002,60076.05736284724,30.0,2023-05-12 01:22:21.150002,60076.05718923613,30.2424,4071,3999,240.00853573525671,-23.984061211367255,239.8920866069558,-24.00416157261333,239.91369282597475,-24.1086515061915,240.03023336348372,-24.08853476840459,20230511,2023-05-12 01:22:21.150002,1.6951697613448924,5615,294,False,60076
40919699200,2023051100271,SDSSi_65mm~empty,i,239.9773833647056,-24.05145333775565,53.394787,27.842892,6.484826,23.321812,8.4164,0.02804534,0.01175599,35,0.00060140714,-0.00021921843,0.032577544,0.013726747,-0.0023323458,0.074024916,0.011426575,0.33839187,1545.8068,-24.05145333775565,0,1.4614141456551335,324.227336077934,2023-05-12 01:24:47.058502,60076.05887799192,30.0,2023-05-12 01:24:32.058502,60076.05870438081,30.2432,4071,3999,239.9643394233874,-24.12636289645952,240.05968166637848,-24.06201689526571,239.99041209395773,-23.976542665623203,239.89509861732398,-24.040845790326177,20230511,2023-05-12 01:24:32.058502,1.6770140716470514,5615,294,False,60076
40919699456,2023051100272,SDSSg_65mm~empty,g,239.97446163512637,-24.04036981352064,52.93045,27.943798,8.022513,3.8610806,7.4627166,0.026917858,0.013599273,23,-0.00101275,0.0015773308,0.006414147,0.011287288,0.15588991,0.11308602,0.01377444,0.27672994,1709.4192,-24.04036981352064,0,1.808367967985244,170.003727453688,2023-05-12 01:26:57.655998,60076.060389537015,30.0,2023-05-12 01:26:42.655998,60076.06021592591,30.2454,4071,3999,240.0218698420712,-23.97807747549461,239.9053769896486,-23.998177189972104,239.92700742609202,-24.10264754548818,240.04359167583073,-24.082531431904435,20230511,2023-05-12 01:26:42.655998,1.6589689999590544,5615,294,False,60076
40919699712,2023051100273,SDSSr_65mm~empty,r,239.98063741549282,-24.04296736682612,52.757847,27.76311,7.0818634,9.975663,7.7612114,0.02381763,0.0125546325,51,-0.0031957403,-0.01842903,0.016751887,0.041637372,-0.006698015,0.07475748,0.010574568,0.8882311,1135.893,-24.04296736682612,0,1.596491960200071,170.003705683276,2023-05-12 01:27:47.258993,60076.06096364575,30.0,2023-05-12 01:27:32.258993,60076.060790034644,30.2314,4071,3999,240.0280659671111,-23.98064239129223,239.91158136836808,-24.000773919424137,239.93316281240624,-24.105277722434966,240.04973884572817,-24.085129832358238,20230511,2023-05-12 01:27:32.258993,1.6523873753857823,5615,294,False,60076
40919699968,2023051100274,SDSSr_65mm~empty,r,239.99086439328514,-24.05051188887281,52.297085,27.753756,6.742584,10.029843,7.808455,0.022334885,0.01407096,42,0.0076409928,-0.0012648748,0.026559444,0.030109763,0.016424697,0.10939855,0.016094333,0.87221754,1357.254,-24.05051188887281,0,1.5194999073147262,324.431419492807,2023-05-12 01:29:58.066995,60076.06247762726,30.0,2023-05-12 01:29:43.066995,60076.06230401615,30.238,4071,3999,239.97751629156437,-24.125377110144377,240.07312220448438,-24.061330812222597,240.00419693802993,-23.975645502596276,239.908620455579,-24.03964902020498,20230511,2023-05-12 01:29:43.066995,1.6351430260451276,5615,294,False,60076
40919700224,2023051100275,SDSSg_65mm~empty,g,239.99130084820456,-24.048250949733106,51.831482,27.859339,7.8168025,3.7885098,7.443134,0.036667835,0.019604368,23,0.0035185032,-0.0017762035,0.015034335,0.025612507,0.1966679,0.090357736,0.011326096,0.52145255,1927.6178,-24.048250949733106,0,1.7620399503652977,170.003374337806,2023-05-12 01:32:08.772993,60076.063990428156,30.0,2023-05-12 01:31:53.772993,60076.06381681705,30.2501,4071,3999,240.03872476324693,-23.985944246562905,239.92223392642626,-24.00605554068488,239.94383088802508,-24.110543033762493,240.06041317344716,-24.090415361923384,20230511,2023-05-12 01:31:53.772993,1.6181845038892477,5615,294,False,60076
