,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2023-01-19T00:52:38.109,/Users/sylvie/DATA/AuxTelDATA2023/data/2023/empty~holo4_003/20230118,exposure_2023011800208_pseudo-postisrccd.fits,208,MU-COL,empty_1,holo4_003,1.082111416464674,30.0,5.96046447753906e-08,,,,,,,,,,    ,,
1,1,2023-01-19T00:57:22.825,/Users/sylvie/DATA/AuxTelDATA2023/data/2023/empty~holo4_003/20230118,exposure_2023011800216_pseudo-postisrccd.fits,216,MU-COL,empty_1,holo4_003,1.074493157541232,30.0,5.96046447753906e-08,,,,,,,,,,    ,,
2,2,2023-01-19T00:58:05.732,/Users/sylvie/DATA/AuxTelDATA2023/data/2023/empty~holo4_003/20230118,exposure_2023011800217_pseudo-postisrccd.fits,217,MU-COL,empty_1,holo4_003,1.073384790100576,30.0,5.96046447753906e-08,,,,,,,,,,    ,,
3,3,2023-01-19T01:03:17.380,/Users/sylvie/DATA/AuxTelDATA2023/data/2023/empty~holo4_003/20230118,exposure_2023011800226_pseudo-postisrccd.fits,226,MU-COL,empty_1,holo4_003,1.066000918816781,30.0,5.96046447753906e-08,,,,,,,,,,    ,,
4,4,2023-01-19T01:04:00.206,/Users/sylvie/DATA/AuxTelDATA2023/data/2023/empty~holo4_003/20230118,exposure_2023011800227_pseudo-postisrccd.fits,227,MU-COL,empty_1,holo4_003,1.064966256374484,30.0,5.96046447753906e-08,,,,,,,,,,    ,,
5,5,2023-01-19T01:25:01.378,/Users/sylvie/DATA/AuxTelDATA2023/data/2023/empty~holo4_003/20230118,exposure_2023011800248_pseudo-postisrccd.fits,248,HD185975,empty_1,holo4_003,2.05627582308855,30.0,0.009500645101070404,,,,,,,,,,    ,,
6,6,2023-01-19T01:25:44.191,/Users/sylvie/DATA/AuxTelDATA2023/data/2023/empty~holo4_003/20230118,exposure_2023011800249_pseudo-postisrccd.fits,249,HD185975,empty_1,holo4_003,2.056715442939995,30.0,0.009500645101070404,,,,,,,,,,    ,,
7,7,2023-01-19T01:37:33.695,/Users/sylvie/DATA/AuxTelDATA2023/data/2023/empty~holo4_003/20230118,exposure_2023011800263_pseudo-postisrccd.fits,263,MU-COL,empty_1,holo4_003,1.026160981528146,30.0,0.01038004457950592,,,,,,,,,,    ,,
8,8,2023-01-19T01:38:16.518,/Users/sylvie/DATA/AuxTelDATA2023/data/2023/empty~holo4_003/20230118,exposure_2023011800264_pseudo-postisrccd.fits,264,MU-COL,empty_1,holo4_003,1.025544397472747,30.0,0.01038004457950592,,,,,,,,,,    ,,
9,9,2023-01-19T01:43:26.524,/Users/sylvie/DATA/AuxTelDATA2023/data/2023/empty~holo4_003/20230118,exposure_2023011800273_pseudo-postisrccd.fits,273,MU-COL,empty_1,holo4_003,1.021320254882735,30.0,0.01038004457950592,,,,,,,,,,    ,,
10,10,2023-01-19T01:44:09.355,/Users/sylvie/DATA/AuxTelDATA2023/data/2023/empty~holo4_003/20230118,exposure_2023011800274_pseudo-postisrccd.fits,274,MU-COL,empty_1,holo4_003,1.020768486271248,30.0,0.01038004457950592,,,,,,,,,,    ,,
11,11,2023-01-19T01:55:32.413,/Users/sylvie/DATA/AuxTelDATA2023/data/2023/empty~holo4_003/20230118,exposure_2023011800287_pseudo-postisrccd.fits,287,HD185975,empty_1,holo4_003,2.074151950818944,30.0,-0.00384091772139072,,,,,,,,,,    ,,
