,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2021-09-09T23:53:55.100,/Users/dagoret/DATA/AuxTelData2021/holo/quickLookExp/2021-09-09,holo4_003_empty_PNG321.0+03.9_20210909_000165_quickLookExp.fits,165,PNG321.0+03.9,empty_1,holo4_003,1.38035696941605,10.0,-0.00059591053286567,1.02733385562897,742.1,9.2,16.0,4.0,300.0,1750.0,,,    ,1.0,1.0
1,1,2021-09-09T23:54:18.095,/Users/dagoret/DATA/AuxTelData2021/holo/quickLookExp/2021-09-09,holo4_003_empty_PNG321.0+03.9_20210909_000166_quickLookExp.fits,166,PNG321.0+03.9,empty_1,holo4_003,1.38161266100225,10.0,-0.00059591053286567,1.02733385562897,742.1,9.1,16.0,3.6,300.0,1750.0,,,    ,1.0,1.0
2,2,2021-09-09T23:54:41.122,/Users/dagoret/DATA/AuxTelData2021/holo/quickLookExp/2021-09-09,holo4_003_empty_PNG321.0+03.9_20210909_000167_quickLookExp.fits,167,PNG321.0+03.9,empty_1,holo4_003,1.38287448418214,10.0,-0.00059591053286567,1.02733385562897,742.1,9.1,16.0,3.6,300.0,1750.0,,,    ,1.0,1.0
3,3,2021-09-09T23:55:04.180,/Users/dagoret/DATA/AuxTelData2021/holo/quickLookExp/2021-09-09,holo4_003_empty_PNG321.0+03.9_20210909_000168_quickLookExp.fits,168,PNG321.0+03.9,empty_1,holo4_003,1.38414845647293,30.0,-0.00059591053286567,1.19012987613678,742.1,9.1,16.0,3.6,300.0,1750.0,,,    ,1.0,1.0
4,4,2021-09-09T23:55:47.196,/Users/dagoret/DATA/AuxTelData2021/holo/quickLookExp/2021-09-09,holo4_003_empty_PNG321.0+03.9_20210909_000169_quickLookExp.fits,169,PNG321.0+03.9,empty_1,holo4_003,1.38652268375426,30.0,-0.00059591053286567,1.08102703094482,742.1,9.0,17.0,3.1,300.0,1750.0,,,    ,1.0,1.0
5,5,2021-09-09T23:56:30.224,/Users/dagoret/DATA/AuxTelData2021/holo/quickLookExp/2021-09-09,holo4_003_empty_PNG321.0+03.9_20210909_000170_quickLookExp.fits,170,PNG321.0+03.9,empty_1,holo4_003,1.38890839990463,30.0,-0.00059591053286567,1.08102703094482,742.2,9.0,16.0,3.9,300.0,1750.0,,,    ,1.0,1.0
6,6,2021-09-09T23:57:13.142,/Users/dagoret/DATA/AuxTelData2021/holo/quickLookExp/2021-09-09,holo4_003_empty_PNG321.0+03.9_20210909_000171_quickLookExp.fits,171,PNG321.0+03.9,empty_1,holo4_003,1.39129983562492,60.0,-0.00059591053286567,1.08622300624847,742.1,9.0,16.0,3.9,300.0,1750.0,,,    ,1.0,1.0
7,7,2021-09-10T00:04:18.230,/Users/dagoret/DATA/AuxTelData2021/holo/quickLookExp/2021-09-09,holo4_003_empty_PNG321.0+03.9_20210909_000174_quickLookExp.fits,174,PNG321.0+03.9,empty_1,holo4_003,1.41580322289775,0.0,-0.00059591053286567,0.893804311752319,742.1,8.9,15.0,3.7,300.0,1750.0,,,    ,1.0,1.0
8,8,2021-09-10T00:06:01.239,/Users/dagoret/DATA/AuxTelData2021/holo/quickLookExp/2021-09-09,holo4_003_empty_PNG321.0+03.9_20210909_000175_quickLookExp.fits,175,PNG321.0+03.9,empty_1,holo4_003,1.42196220296395,60.0,-0.00059591053286567,0.883665382862091,742.1,8.9,15.0,3.8,300.0,1750.0,,,    ,1.0,1.0
9,9,2021-09-10T00:07:14.156,/Users/dagoret/DATA/AuxTelData2021/holo/quickLookExp/2021-09-09,holo4_003_empty_PNG321.0+03.9_20210909_000176_quickLookExp.fits,176,PNG321.0+03.9,empty_1,holo4_003,1.42636514712026,60.0,-0.00059591053286567,0.849423587322235,742.05,8.9,15.0,4.4,300.0,1750.0,,,    ,1.0,1.0
10,10,2021-09-10T00:08:27.395,/Users/dagoret/DATA/AuxTelData2021/holo/quickLookExp/2021-09-09,holo4_003_empty_PNG321.0+03.9_20210909_000177_quickLookExp.fits,177,PNG321.0+03.9,empty_1,holo4_003,1.43084027263726,60.0,-0.00059591053286567,0.901405870914459,742.1,8.9,15.0,4.6,300.0,1750.0,,,    ,1.0,1.0
