,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2021-09-10T06:15:30.580,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000600_quickLookExp.fits,600,HD2811,empty_1,ronchi170lpmm,1.0289825016691,1.0,0.0,0.673308789730072,741.0,9.0,18.0,9.1,400.0,2400.0,,,    ,1.0,1.0
1,1,2021-09-10T06:15:34.147,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000601_quickLookExp.fits,601,HD2811,empty_1,ronchi170lpmm,1.02899591198501,1.0,0.0,0.673308789730072,741.0,9.0,18.0,9.1,400.0,2400.0,,,    ,1.0,1.0
2,2,2021-09-10T06:15:37.709,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000602_quickLookExp.fits,602,HD2811,empty_1,ronchi170lpmm,1.0290093682008,1.0,0.0,0.673308789730072,741.0,9.0,18.0,9.1,300.0,2300.0,,,    ,1.0,1.0
3,3,2021-09-10T06:15:41.301,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000603_quickLookExp.fits,603,HD2811,empty_1,ronchi170lpmm,1.02902211763247,1.0,0.0,0.673308789730072,741.0,9.0,18.0,9.1,300.0,2300.0,,,    ,1.0,1.0
4,4,2021-09-10T06:15:44.871,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000604_quickLookExp.fits,604,HD2811,empty_1,ronchi170lpmm,1.02903566255267,1.0,0.0,0.673308789730072,741.0,9.0,18.0,9.1,300.0,2300.0,,,    ,1.0,1.0
5,5,2021-09-10T06:15:48.436,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000605_quickLookExp.fits,605,HD2811,empty_1,ronchi170lpmm,1.02904925291403,1.0,0.0,0.673308789730072,741.0,9.0,18.0,9.1,300.0,2300.0,,,    ,1.0,1.0
6,6,2021-09-10T06:15:51.992,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000606_quickLookExp.fits,606,HD2811,empty_1,ronchi170lpmm,1.02906288944115,1.0,0.0,0.673308789730072,741.0,9.0,18.0,9.1,300.0,2300.0,,,    ,1.0,1.0
7,7,2021-09-10T06:15:55.562,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000607_quickLookExp.fits,607,HD2811,empty_1,ronchi170lpmm,1.02907657142058,1.0,0.0,0.673308789730072,741.0,9.0,18.0,9.1,300.0,2300.0,,,    ,1.0,1.0
8,8,2021-09-10T06:15:59.140,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000608_quickLookExp.fits,608,HD2811,empty_1,ronchi170lpmm,1.02909010817763,1.0,0.0,0.645058691501617,741.0,9.0,18.0,9.1,300.0,2300.0,,,    ,1.0,1.0
9,9,2021-09-10T06:16:02.722,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000609_quickLookExp.fits,609,HD2811,empty_1,ronchi170lpmm,1.02910388122859,1.0,0.0,0.645058691501617,741.0,9.0,18.0,9.1,300.0,2300.0,,,    ,1.0,1.0
10,10,2021-09-10T06:16:06.298,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000610_quickLookExp.fits,610,HD2811,empty_1,ronchi170lpmm,1.02911693160753,1.0,0.0,0.645058691501617,741.0,9.0,18.0,9.1,300.0,2300.0,,,    ,1.0,1.0
11,11,2021-09-10T06:16:09.872,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000611_quickLookExp.fits,611,HD2811,empty_1,ronchi170lpmm,1.02913079395164,1.0,0.0,0.645058691501617,740.95,9.0,18.0,8.3,300.0,2300.0,,,    ,1.0,1.0
12,12,2021-09-10T06:16:13.439,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000612_quickLookExp.fits,612,HD2811,empty_1,ronchi170lpmm,1.02914470303836,1.0,0.0,0.645058691501617,740.95,9.0,18.0,8.3,300.0,2300.0,,,    ,1.0,1.0
13,13,2021-09-10T06:16:17.018,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000613_quickLookExp.fits,613,HD2811,empty_1,ronchi170lpmm,1.02915865653259,1.0,0.0,0.645058691501617,740.95,9.0,18.0,8.3,300.0,2300.0,,,    ,1.0,1.0
14,14,2021-09-10T06:16:20.576,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000614_quickLookExp.fits,614,HD2811,empty_1,ronchi170lpmm,1.02917265694768,1.0,0.0,0.645058691501617,740.95,9.0,18.0,8.3,300.0,2300.0,,,    ,1.0,1.0
15,15,2021-09-10T06:16:24.155,/Users/dagoret/DATA/AuxTelData2021/ronchi170lpmm/quickLookExp_v2/2021_09_09,ronchi170lpmm_empty_HD2811_20210909_000615_quickLookExp.fits,615,HD2811,empty_1,ronchi170lpmm,1.02918670254493,1.0,0.0,0.645058691501617,740.95,9.0,18.0,8.3,300.0,2300.0,,,    ,1.0,1.0
