,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2022-02-17T03:22:34.842,/sps/lsst/groups/auxtel/softs/shared/auxteldm/rerun/dagoret_testfordispersers2022_03/calexp/2022-02-16,calexp_2022021600289-empty~holo4_003-det000.fits,289,HD031128,empty_1,holo4_003,1.45446108284034,20.0,0.104834116995335,1.20611929893494,744.05,16.4,5.0,8.7,,,,,    ,,
1,1,2022-02-17T03:23:07.917,/sps/lsst/groups/auxtel/softs/shared/auxteldm/rerun/dagoret_testfordispersers2022_03/calexp/2022-02-16,calexp_2022021600290-empty~holo4_003-det000.fits,290,HD031128,empty_1,holo4_003,1.45760726161232,20.0,0.104834116995335,1.20611929893494,744.05,16.4,5.0,8.2,,,,,    ,,
2,2,2022-02-17T03:32:14.602,/sps/lsst/groups/auxtel/softs/shared/auxteldm/rerun/dagoret_testfordispersers2022_03/calexp/2022-02-16,calexp_2022021600303-empty~holo4_003-det000.fits,303,ETA1DOR,empty_1,holo4_003,1.35325487994579,20.0,0.104834116995335,1.31419634819031,743.95,16.4,5.0,7.9,,,,,    ,,
3,3,2022-02-17T03:32:47.754,/sps/lsst/groups/auxtel/softs/shared/auxteldm/rerun/dagoret_testfordispersers2022_03/calexp/2022-02-16,calexp_2022021600304-empty~holo4_003-det000.fits,304,ETA1DOR,empty_1,holo4_003,1.35419549478442,20.0,0.104834116995335,1.13965582847595,743.95,16.4,5.0,7.9,,,,,    ,,
4,4,2022-02-17T03:42:47.002,/sps/lsst/groups/auxtel/softs/shared/auxteldm/rerun/dagoret_testfordispersers2022_03/calexp/2022-02-16,calexp_2022021600318-empty~holo4_003-det000.fits,318,HD60753,empty_1,holo4_003,1.09902523495317,20.0,0.104834116995335,1.31050825119019,744.0,16.4,5.0,7.0,,,,,    ,,
5,5,2022-02-17T03:46:14.705,/sps/lsst/groups/auxtel/softs/shared/auxteldm/rerun/dagoret_testfordispersers2022_03/calexp/2022-02-16,calexp_2022021600324-empty~holo4_003-det000.fits,324,HD38949,empty_1,holo4_003,1.31318929251123,20.0,0.104834116995335,1.10981595516205,744.0,16.4,5.0,7.4,,,,,    ,,
6,6,2022-02-17T03:46:47.705,/sps/lsst/groups/auxtel/softs/shared/auxteldm/rerun/dagoret_testfordispersers2022_03/calexp/2022-02-16,calexp_2022021600325-empty~holo4_003-det000.fits,325,HD38949,empty_1,holo4_003,1.31551487317703,20.0,0.104834116995335,1.10981595516205,744.0,16.4,5.0,7.4,,,,,    ,,
7,7,2022-02-17T03:49:45.253,/sps/lsst/groups/auxtel/softs/shared/auxteldm/rerun/dagoret_testfordispersers2022_03/calexp/2022-02-16,calexp_2022021600331-empty~holo4_003-det000.fits,331,LAMLEP,empty_1,holo4_003,1.62052120983449,20.0,0.104834116995335,1.41271436214447,743.95,16.4,5.0,7.9,,,,,    ,,
8,8,2022-02-17T03:50:18.219,/sps/lsst/groups/auxtel/softs/shared/auxteldm/rerun/dagoret_testfordispersers2022_03/calexp/2022-02-16,calexp_2022021600332-empty~holo4_003-det000.fits,332,LAMLEP,empty_1,holo4_003,1.62478756598263,20.0,0.104834116995335,1.22513735294342,743.95,16.4,5.0,7.6,,,,,    ,,
9,9,2022-02-17T04:00:09.552,/sps/lsst/groups/auxtel/softs/shared/auxteldm/rerun/dagoret_testfordispersers2022_03/calexp/2022-02-16,calexp_2022021600346-empty~holo4_003-det000.fits,346,MUCOL,empty_1,holo4_003,1.34353581977939,20.0,0.104834116995335,1.18729341030121,743.9,16.4,5.0,7.8,,,,,    ,,
10,10,2022-02-17T04:04:07.540,/sps/lsst/groups/auxtel/softs/shared/auxteldm/rerun/dagoret_testfordispersers2022_03/calexp/2022-02-16,calexp_2022021600353-empty~holo4_003-det000.fits,353,ETA1DOR,empty_1,holo4_003,1.41528267896435,20.0,0.104834116995335,1.14903044700623,743.85,16.5,5.0,7.4,,,,,    ,,
