,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality
0,0,2021-03-12T01:19:36.315,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_188.fits,188,HD75519,RG610,ronchi170lpmm,1.03381334821915,5.0,-0.11429201811552,0.608921825885773,742.85,11.7,50.0,0.9,1800.0,2500.0,,,skip,1.0,0.0
1,1,2021-03-12T01:20:18.220,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_189.fits,189,HD75519,RG610,ronchi170lpmm,1.03331148985067,5.0,-0.11429201811552,0.608921825885773,742.85,11.7,55.0,0.8,1800.0,2500.0,,,skip,1.0,0.0
2,2,2021-03-12T01:20:33.072,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_190.fits,190,HD75519,RG610,ronchi170lpmm,1.03313610522634,5.0,-0.11429201811552,0.608921825885773,742.85,11.7,55.0,0.8,1800.0,2500.0,,,skip,1.0,0.0
3,3,2021-03-12T01:52:19.566,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_200.fits,200,HD75519,RG610,ronchi170lpmm,1.01751593638621,5.0,-0.163627207279205,0.608921825885773,742.8,11.6,49.0,0.3,2100.0,1750.0,,,skip,1.0,0.0
4,4,2021-03-12T01:52:28.549,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_201.fits,201,HD75519,RG610,ronchi170lpmm,1.0174742570858,5.0,-0.14362721145153,0.608921825885773,742.8,11.6,49.0,0.3,2100.0,1750.0,,,skip,0.0,0.0
5,5,2021-03-12T01:52:38.095,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_202.fits,202,HD75519,RG610,ronchi170lpmm,1.01743012120026,5.0,-0.123627215623856,0.608921825885773,742.8,11.6,49.0,0.3,2100.0,1750.0,,,skip,0.0,0.0
6,6,2021-03-12T01:52:47.124,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_203.fits,203,HD75519,RG610,ronchi170lpmm,1.01738905280419,5.0,-0.1036272123456,0.608921825885773,742.8,11.6,49.0,0.3,2100.0,1750.0,,,skip,0.0,0.0
7,7,2021-03-12T02:00:08.356,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_204.fits,204,HD75519,RG610,ronchi170lpmm,1.01587648562286,5.0,-0.0636272132396698,0.608921825885773,742.75,11.7,49.0,1.2,200.0,1700.0,,,    ,1.0,1.0
8,8,2021-03-12T02:01:03.092,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_205.fits,205,HD75519,RG610,ronchi170lpmm,1.0157220735413,5.0,-0.163627222180367,0.608921825885773,742.75,11.8,50.0,0.3,200.0,1700.0,,,    ,1.0,1.0
9,9,2021-03-12T02:01:12.571,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_206.fits,206,HD75519,RG610,ronchi170lpmm,1.01569598808517,5.0,-0.14362721145153,0.608921825885773,742.75,11.8,50.0,0.5,200.0,1700.0,,,    ,1.0,1.0
10,10,2021-03-12T02:01:25.066,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_207.fits,207,HD75519,RG610,ronchi170lpmm,1.01566278349715,5.0,-0.123627215623856,0.608921825885773,742.75,11.8,50.0,0.5,200.0,1700.0,,,    ,1.0,1.0
11,11,2021-03-12T02:01:34.539,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_208.fits,208,HD75519,RG610,ronchi170lpmm,1.01563798488972,5.0,-0.103627219796181,0.608921825885773,742.75,11.8,50.0,0.5,200.0,1700.0,,,    ,1.0,1.0
12,12,2021-03-12T02:01:43.667,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_209.fits,209,HD75519,RG610,ronchi170lpmm,1.01561414918092,5.0,-0.0836272165179253,0.608921825885773,742.75,11.8,50.0,0.5,200.0,1700.0,,,    ,1.0,1.0
13,13,2021-03-12T02:01:53.077,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_210.fits,210,HD75519,RG610,ronchi170lpmm,1.01558998358473,5.0,-0.0636272206902504,0.608921825885773,742.75,11.8,50.0,0.5,200.0,1700.0,,,    ,1.0,1.0
14,14,2021-03-12T02:02:02.543,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_211.fits,211,HD75519,RG610,ronchi170lpmm,1.01556613421571,5.0,-0.0436272211372852,0.608921825885773,742.75,11.8,50.0,0.5,200.0,1700.0,,,    ,1.0,1.0
