,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality,skew,skewx,skewy,kurtosis,kurtosisx,kurtosisy,ptskewx,ptskewy,ptkurtx,ptkurty,ptnormx,ptnormy
0,0,2021-03-12T01:19:36.315,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_188.fits,188,HD75519,RG610,ronchi170lpmm,1.03381334821915,5.0,-0.11429201811552,0.6089218258857729,742.85,11.7,50.0,0.9,1800.0,2500.0,,,skip,1.0,0.0,7.489194254242385,2.100382878566252,1.903321221427228,65.28976250054724,3.2915191020084738,2.361956137916078,6.367358462221926e-17,2.9620734830667668e-15,4.734504526460403e-06,9.826069588690121e-05,1.917288992290243e-20,1.5118006854007315e-17
1,1,2021-03-12T01:20:18.220,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_189.fits,189,HD75519,RG610,ronchi170lpmm,1.0333114898506701,5.0,-0.11429201811552,0.6089218258857729,742.85,11.7,55.0,0.8,1800.0,2500.0,,,skip,1.0,0.0,7.61496831995548,2.048036289485612,2.01988845655794,68.76883889594946,3.000024920673231,3.0145058397476925,1.7477315883464492e-16,3.017317563082134e-16,1.1704353072900706e-05,1.117906895828539e-05,1.2329768861360493e-19,2.0215719789758167e-19
2,2,2021-03-12T01:20:33.072,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_190.fits,190,HD75519,RG610,ronchi170lpmm,1.03313610522634,5.0,-0.11429201811552,0.6089218258857729,742.85,11.7,55.0,0.8,1800.0,2500.0,,,skip,1.0,0.0,9.294836784301996,2.309385468852622,2.3401870904522877,104.88646115057973,4.297989664206825,4.6317098548000875,1.218770226734808e-18,6.873506168847365e-19,2.7671946186754164e-07,1.177270354346008e-07,2.515337608162758e-23,6.253271307194561e-24
3,3,2021-03-12T01:52:19.566,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_200.fits,200,HD75519,RG610,ronchi170lpmm,1.01751593638621,5.0,-0.163627207279205,0.6089218258857729,742.8,11.6,49.0,0.3,2100.0,1750.0,,,skip,1.0,0.0,4.759091533238066,1.2981852322914889,1.3849664924935514,25.71566730503988,0.05055508219522764,0.3318045808211698,6.898502014135066e-10,1.1287651230956299e-10,0.6970356135950371,0.2653000727375604,5.0678035566393574e-09,5.018274353542299e-10
4,4,2021-03-12T01:52:28.549,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_201.fits,201,HD75519,RG610,ronchi170lpmm,1.0174742570858,5.0,-0.14362721145152998,0.6089218258857729,742.8,11.6,49.0,0.3,2100.0,1750.0,,,skip,0.0,0.0,5.481522869210313,1.669452758880072,1.5581636986539007,33.36896015419281,1.33191730128826,0.982396544633394,3.217651675108375e-13,3.130527147880479e-12,0.004753317417845634,0.019648825389945078,5.558776061728709e-14,1.8350149165765148e-12
5,5,2021-03-12T01:52:38.095,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_202.fits,202,HD75519,RG610,ronchi170lpmm,1.01743012120026,5.0,-0.12362721562385601,0.6089218258857729,742.8,11.6,49.0,0.3,2100.0,1750.0,,,skip,0.0,0.0,6.984332908349314,1.954663548646211,1.8270902762953762,58.82610224749887,2.678270386918892,2.1253187622577423,1.0782770065222089e-15,1.3450360586981618e-14,3.3345199509963644e-05,0.00022827179984507027,2.0078821341360793e-18,1.4823284608749934e-16
6,6,2021-03-12T01:52:47.124,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_203.fits,203,HD75519,RG610,ronchi170lpmm,1.01738905280419,5.0,-0.1036272123456,0.6089218258857729,742.8,11.6,49.0,0.3,2100.0,1750.0,,,skip,0.0,0.0,5.561566788681597,1.5197771619892877,1.763948045725688,35.09945709759011,0.9559669045884611,1.8252888378721197,6.900734192940213e-12,4.7631588827225716e-14,0.021895765712959155,0.0006935812962811009,4.3766498001492255e-12,1.4520505866831524e-15
7,7,2021-03-12T02:00:08.356,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_204.fits,204,HD75519,RG610,ronchi170lpmm,1.0158764856228601,5.0,-0.0636272132396698,0.6089218258857729,742.75,11.7,49.0,1.2,200.0,1700.0,,,    ,1.0,1.0,8.62709548191195,2.2733002732272154,2.303525370730236,85.59031845916724,4.0881044526286745,4.208687063830447,2.3921450141139632e-18,1.3594879556778381e-18,4.836583446610209e-07,3.502162272584642e-07,8.391523236188567e-23,3.517455268671493e-23
8,8,2021-03-12T02:01:03.092,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_205.fits,205,HD75519,RG610,ronchi170lpmm,1.0157220735413,5.0,-0.163627222180367,0.6089218258857729,742.75,11.8,50.0,0.3,200.0,1700.0,,,    ,1.0,1.0,4.673379228709581,1.3228704157854851,1.5539073899121894,24.015279468781138,0.29265318461166423,1.0293293122490077,4.1198050063322735e-10,3.4168195704654445e-12,0.3066098273645137,0.016214588264817087,1.9601696909834126e-09,1.6896933541570834e-12
9,9,2021-03-12T02:01:12.571,/sps/lsst/groups/auxtel/data/2021/ronchi170lpmm/FlipCleans,Cor_ronchi170lpmm_RG610_HD75519_2021-03-11_206.fits,206,HD75519,RG610,ronchi170lpmm,1.0156959880851701,5.0,-0.14362721145152998,0.6089218258857729,742.75,11.8,50.0,0.5,200.0,1700.0,,,    ,1.0,1.0,5.640229987814382,1.625748129904569,1.777054820851106,35.39846841269435,1.2640236039895463,1.7986547733391127,7.838460385887736e-13,3.660580559411143e-14,0.00624531867606166,0.0007672322775659669,1.7048046494844122e-13,1.2309963536705266e-15
