,index,date,path,file,num,object,filter,disperser,airmass,exposure,focus,seeing,pressure,temperature,humidity,windspd,Obj-posXpix,Obj-posYpix,Dx,Dy,skip,run,quality,skew,skewx,skewy,kurtosis,kurtosisx,kurtosisy,ptskewx,ptskewy,ptkurtx,ptkurty,ptnormx,ptnormy
0,0,2021-02-17T01:45:09.091,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_RG610_HD50896_2021-02-16_181.fits,181,HD50896,RG610,holo4_003,1.00620877313234,90.0,-0.034842673689127,,743.1,10.3,51.0,9.3,,,,,    ,,,,,,,,,,,,,,
1,1,2021-02-17T03:37:12.647,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_empty_HD50896_2021-02-16_209.fits,209,HD50896,empty_1,holo4_003,1.0999053901006002,90.0,0.0,,742.8,10.4,45.0,9.9,,,,,    ,,,,,,,,,,,,,,
2,2,2021-02-18T07:25:02.387,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_NGC4755_2021-02-17_350.fits,350,NGC4755,empty_1,holo4_003,1.15825268707025,6.0,0.0,,742.3,8.8,53.0,7.3,750.0,2700.0,,,    ,1.0,1.0,9.0198606222513,2.2910147885324346,2.860881537757932,83.12558983715482,3.711935899713314,7.033373927492812,1.7172013879982843e-18,6.335259817651811e-23,1.3737623019911148e-06,6.668527285777921e-10,1.6532378961206725e-22,4.1815496846034295e-30
3,3,2021-02-18T07:25:46.560,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_NGC4755_2021-02-17_351.fits,351,NGC4755,empty_1,holo4_003,1.1580970898399399,6.0,0.0,,742.3,8.8,54.0,6.3,750.0,2700.0,,,    ,1.0,1.0,9.09744918944877,2.193386851490853,3.0886525798621203,84.83995664388358,3.3172433214760693,8.677032768010967,1.0788250020476986e-17,1.3581416271397015e-24,4.379387201381621e-06,4.035024222065594e-11,3.0873596280398006e-21,6.00196765922592e-33
4,4,2021-02-18T07:26:07.146,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_NGC4755_2021-02-17_352.fits,352,NGC4755,empty_1,holo4_003,1.1580266955673602,6.0,0.0,,742.3,8.8,54.0,6.3,750.0,2700.0,,,    ,1.0,1.0,9.036731932216918,2.1630174618747278,3.1404135209398345,83.72669166750771,3.1698349775276284,9.101639848613996,1.9211934771197885e-17,5.77354323991774e-25,6.874605047049226e-06,2.1017970170639092e-11,8.401852631789247e-21,1.3582169594170804e-33
5,5,2021-02-18T07:26:18.957,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_NGC4755_2021-02-17_353.fits,353,NGC4755,empty_1,holo4_003,1.1579868577674701,6.0,0.0,,742.3,8.8,55.0,7.7,750.0,2700.0,,,    ,1.0,1.0,9.03846954389646,2.2129068649699377,3.0382328737378215,83.71553810512523,3.3990887973057857,8.307354533730685,7.455058728041075e-18,3.1444004109573e-24,3.4241139112489033e-06,7.280744159375806e-11,1.6933569198507311e-21,2.455955614019564e-32
6,6,2021-02-18T07:26:43.049,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_NGC4755_2021-02-17_354.fits,354,NGC4755,empty_1,holo4_003,1.1579072809741,6.0,0.0,,742.3,8.8,55.0,7.7,750.0,2700.0,,,    ,1.0,1.0,9.068756815013192,2.3081538164482547,2.902149321984078,84.79834362381696,3.891161177586274,7.521046539109667,1.2470733502210298e-18,3.1276261989960524e-23,8.294863524382656e-07,2.756925233200312e-10,7.417746031609887e-23,8.777923439013195e-31
7,7,2021-02-18T07:26:51.615,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_NGC4755_2021-02-17_355.fits,355,NGC4755,empty_1,holo4_003,1.15787913199042,6.0,0.0,,742.3,8.8,55.0,7.7,750.0,2700.0,,,    ,1.0,1.0,9.044891323714541,2.3904269741595225,2.7223165076187676,85.04137452449115,4.2572962200988504,6.357833902435857,2.7158469507150466e-19,6.998458747503135e-22,3.0795987649234143e-07,2.461321152678166e-09,6.329701685423547e-24,1.6097145338657803e-28
8,8,2021-02-18T07:27:00.190,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_NGC4755_2021-02-17_356.fits,356,NGC4755,empty_1,holo4_003,1.15785120469153,6.0,0.0,,742.3,8.8,55.0,7.7,750.0,2700.0,,,    ,1.0,1.0,8.970524792826529,2.445011224644724,2.6401618503707396,83.05489394551653,4.549416317751728,5.776320173241942,9.981317266114276e-20,2.9775122888964108e-21,1.4481547036671632e-07,8.255420766084823e-09,1.135390729973582e-24,2.1895731926950508e-27
9,9,2021-02-18T07:27:53.863,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_NGC4755_2021-02-17_357.fits,357,NGC4755,empty_1,holo4_003,1.15772332478508,6.0,0.0,,742.25,8.7,55.0,6.7,700.0,1700.0,,,    ,1.0,1.0,8.796643540509171,2.1954905264967937,3.064139605187256,78.1926186484153,3.3363225204461964,8.465985824060315,1.0366491858891212e-17,2.0411048747896953e-24,4.134127453468573e-06,5.6368173006691866e-11,2.8087396064340277e-21,1.246256058635748e-32
10,10,2021-02-18T07:29:41.903,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_NGC4755_2021-02-17_358.fits,358,NGC4755,empty_1,holo4_003,1.15729563805965,6.0,0.0,,742.3,8.7,56.0,6.8,500.0,1800.0,,,    ,1.0,1.0,5.0044258860317345,1.0443768152985031,2.8728598801855454,23.652072665848735,-0.358779027857242,7.264137843620574,1.373178811369518e-07,5.159309097731143e-23,0.2903113953413681,4.3648462572704616e-10,5.359530491564537e-07,2.2565177679418714e-30
11,11,2021-02-19T05:53:27.926,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_RG610_HD60753_2021-02-18_556.fits,556,HD60753,RG610,holo4_003,1.39235915189649,5.0,-0.0262973979115486,,743.35,9.9,41.0,8.2,300.0,2500.0,,,    ,1.0,1.0,10.65689552495333,2.7142556235155477,2.8633774413929416,124.2929451004973,6.057556675858626,6.970115808086231,8.060485400979766e-22,6.06974603409218e-23,4.549339994279475e-09,7.504322531074186e-10,3.3665890918412246e-28,4.49733933306341e-30
12,12,2021-02-19T05:55:59.153,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_RG610_HD60753_2021-02-18_557.fits,557,HD60753,RG610,holo4_003,1.4018262904896497,20.0,-0.826297402381897,,743.35,9.9,42.0,8.6,400.0,2600.0,,,skip,1.0,0.0,0.773974159058529,-0.5386353617992037,-0.48026320411514334,-1.0561641072001473,-1.211862659711534,-1.3987577863985299,0.0023830003848053487,0.00618738974141513,2.7886044630534234e-23,2.1272998953809428e-97,3.4771044571949565e-24,1.3195805125536874e-97
13,13,2021-02-19T05:56:26.421,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_RG610_HD60753_2021-02-18_558.fits,558,HD60753,RG610,holo4_003,1.4035509622133002,20.0,0.7737026214599609,,743.35,9.9,41.0,9.1,350.0,2600.0,,,skip,1.0,0.0,1.2922199248137518,0.07270019109459977,-0.5290862933099479,0.06333604721821118,-1.6021943131283989,-1.4501451929592108,0.6644956872632033,0.002795926298619241,0.0,2.7264389391467545e-238,0.0,1.2931265599963415e-238
14,14,2021-02-19T05:59:48.510,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_RG610_HD60753_2021-02-18_559.fits,559,HD60753,RG610,holo4_003,1.4166144842685,5.0,-0.0262973979115486,,743.35,9.9,41.0,8.7,1800.0,2500.0,,,    ,1.0,1.0,10.750170330019607,2.7596182352571654,2.8182761483027874,127.3525976270432,6.3796569939013885,6.744686744493263,3.647787354333155e-22,1.3189708401146624e-22,2.3558499792938874e-09,1.15093149581993e-09,8.094633376846722e-29,1.4715095029134585e-29
15,15,2021-02-19T06:02:10.932,/sps/lsst/groups/auxtel/data/2021/holo/FlipCleans,Cor_holo4_003_RG610_HD60753_2021-02-18_560.fits,560,HD60753,RG610,holo4_003,1.4261141679536498,5.0,-0.0262973979115486,,743.15,9.9,40.0,9.3,400.0,2500.0,,,    ,1.0,1.0,9.077884899879793,1.9663004489444105,2.9419640868945063,91.62179847545261,2.3664110647609338,7.436910669665716,8.583889375374288e-16,1.5894105029129844e-23,9.674127087541944e-05,3.2001258798429043e-10,4.398368749904165e-18,5.19410694898285e-31
